2929/19-11-02-2
1310/20-07-01-7
4521/20-06-03-61140
3620/22-03-02-4
8007/22-07-02-6
3939/22-07-01-4
7427/19-07-02-9
2403/24-07-02-5
1564/23-07-02-7
20/2523-1-7-OL
8985/21-07-03-5
636/22-07-01-9
5564/22-07-01-7
5563/22-07-02-3
5562/22-07-01-8
5561/22-07-01-1
5560/22-07-03-9
5559/22-07-02-7
7059/21-07-02-7
7606/22-07-01-9
5942/23-07-02-9
2590/22-11-02-7
871/23-07-03-9
4340/23-07-01-9
4342/23-07-03-8
4335/23-07-03-4
4341/23-07-03-2
4338/23-07-02-4
1170/24-07-02-5
5110/23-07-03-9
5231/23-07-01-8
5233/23-07-01-2
5232/23-07-02-1
5303/23-07-01-8
1913/23-11-01-5
5775/23-07-02-4
5776/23-07-02-9
6085/23-07-01-8
7926/23-07-03-8
7927/23-07-01-6
1169/24-07-01-4
1168/24-07-02-8
6315/23-07-01-4
5300/23-07-03-4
6535/23-07-02-6
7510/23-07-01-7
7661/23-07-03-3
2/24-17-09-3
83/24-07-01-8
224/24-07-02-5
2496/24-07-01-6
43/24-ERF-01-6
277/24-50-23-1
3582/24-07-02-5
3592/24-07-03-3
3460/24-07-02-4
3581/24-07-02-6
3440/24-07-01-2
4597/24-07-01-8
1169/24-09-01-9
5352/24-07-03-3
8208/24-07-03-1
5694/24-07-02-3
158/25-07-01-9
585/24-22-01-7
23811/24-17-10-1/1775/24-S1-04-06
111/24-ERF-01-9
6196/24-07-01-3
6181/24-07-03-4
8468/24-07-02-3
703/25-07-01-6
45/25-50-23-4
1228/24-18-01-2
1229/24-18-01-4
330/25-18-01-2
331/25-18-01-1
159/25-12-03-1
663/25-07-03-4
1084/25-07-02-2
1493/24-19-01-3
1655/25-07-03-7
